NodeID,Position,Number of CouplingPoints,ClusterID,Area,MajorVesselID
1339,31.458139963958875 47.00935270967733 33.274127740616734,220,0,2351.488083128591,2
1403,10.662228465409662 -25.942111756967456 38.73151274149128,225,1,2238.278292442286,2
1461,17.81435151154055 -15.709149518504132 53.05772973662567,262,2,2876.509441192039,2
1489,19.244647105165992 15.62810234467246 38.04944755425939,280,3,3142.2285889480527,2
1504,15.723533094454721 44.28051391586663 33.95637324682658,139,4,1575.6648151739237,2
1509,21.88533212739782 31.318769261593644 23.04109944841404,69,5,799.8150363780321,2
1517,30.467900219136617 34.729722599408596 40.096084270121914,104,6,1038.7449071700598,2
1552,5.886897636675865 -36.9453972318722 51.35218862267174,229,7,2587.4727324033115,2
1597,9.980081353275725 -51.90972091705707 36.684811931178025,206,8,2076.0544609963695,2
1626,9.98009305753565 -64.23331694189618 31.909364860215007,188,9,2293.0224683929905,2
1650,30.797841675526488 8.1241653321595 -21.984227404271763,138,10,1631.0793522980634,3
1812,38.94045661626463 -67.6440926821531 -7.658353913292432,112,11,1213.616321414572,3
1830,25.29653003118633 -54.00024231345963 23.040751178340578,141,12,1604.73509264715,3
1906,21.88551621522342 -34.85467095298388 31.9094388315418,146,13,1728.7363755097924,3
1911,41.69127385267898 -36.94517331726977 15.536559418367016,52,14,619.7580910264396,3
1922,31.458302477221864 -45.087599916568756 18.947562950578682,100,15,1030.7435283418813,3
1933,33.548959952887 -39.586046222353055 35.320379933323885,123,16,1456.4524712013067,3
1982,55.33525554411262 -17.139366874390465 23.722989822606337,187,17,2114.5717070859746,3
2007,32.118443286237444 -15.709000837514038 23.72307702360343,125,18,1393.329261898268,3
2013,55.995352414740076 4.030899215350857 9.39687020793829,68,19,721.0871171572953,3
2076,65.56806937670727 -20.550125100096714 -31.535263767975753,160,20,1786.8267565543806,3
2092,66.22838874186783 -13.728280178461958 8.032363864954881,125,21,1492.5719581736716,3
2110,36.29965535428471 -2.835232432671761 27.81631478680021,167,22,1812.0904023026537,3
2119,54.34493228518551 3.348625554279225 27.134074780964962,124,23,1271.6277630229906,3
2186,41.030930243371486 27.907839672329686 16.219017292582812,112,24,1344.2598153641586,3
2221,35.859339781989014 55.87804182099622 13.831445407923106,141,25,1506.1162573627787,3
2248,45.10209119409776 45.64504142883124 18.265673756647416,96,26,1000.299720284129,3
2256,47.19269927651151 36.09427733551224 10.079227446135773,126,27,1276.6079284347575,3
2278,46.86245178948768 64.06457402906325 -13.456563635944761,86,28,978.872771185432,3
2284,52.58417565080275 36.7766058130539 -18.57319238119302,111,29,1169.9020425661654,3
2312,52.91422841208168 34.73005949896832 -32.21720241056132,141,30,1495.4774804698384,3
2374,45.76225170776296 11.535164636496157 -13.11566632398592,145,31,1512.411287549019,3
2379,48.84329661641652 -45.087441426443675 -11.069300521183413,255,32,2686.9776948655713,3
2389,60.83680088269342 -47.83820158423443 -15.844754093813709,142,33,1443.9615020934584,3
2400,-22.76597345925759 29.954506855388903 -38.01565638419593,106,34,1231.9323260141045,4
2442,-51.07724566171599 25.861216859889108 -32.216872033872924,150,35,1602.3384383442926,4
2535,-53.464736148171504 6.759422309139307 15.537065974104257,135,36,1538.180892293093,4
2574,-53.46471552530568 1.9840110888328961 18.265847941959336,57,37,643.7924869434157,4
2594,-44.93714221949916 -1.405035571883813 36.68520392633542,105,38,1138.4660540163384,4
2602,-37.77407295773709 -5.476164451663795 24.405563881079505,151,39,1693.288596570856,4
2638,-25.15329527728029 -38.92594693715717 24.40538770009467,155,40,1583.0763070266912,4
2651,-43.57271838548108 -45.08775449731057 14.172426995477744,63,41,785.0458260954854,4
2671,-30.610906902128256 -23.301401455537803 31.227467809991143,49,42,507.9018684025485,4
2679,-38.456224329192 -23.96159210277782 25.76989328742762,119,43,1359.3196740478656,4
2683,-41.185052449912725 -25.942148224332595 17.58349374620809,156,44,1708.6619376117385,4
2756,-29.928793630980735 27.225382680724707 40.09626687181137,82,45,1046.5835691325015,4
2764,-43.572821997820895 14.263613764757928 23.723461072765133,87,46,943.9167750844802,4
2783,-30.952060256471135 9.488185869467967 38.04959970018182,104,47,1110.9212072682624,4
2787,-51.077203029718795 9.488410938188625 -30.852536697216337,83,48,803.6069333143406,4
2819,-64.03892023462694 -31.443610080927428 -34.26365112228499,62,49,574.8151663822393,4
2828,-59.263527758245885 -8.226840656987 -21.30177657073214,92,50,936.3731173621794,4
2834,-27.54137998327911 32.001095919771466 -38.35672888525458,67,51,787.5037478263206,4
2891,-45.61963009660724 29.2722033092786 -25.394876311584536,106,52,1146.3376827781085,4
2921,-66.76772322119727 -0.7446934768788972 -13.797519330416778,131,53,1738.106635269518,4
2994,-47.66594114989281 -52.569914314078595 3.2572105596011904,65,54,761.5718779354152,4
3018,-30.610859900572294 -75.78670864086537 10.0790597979211,73,55,740.9113010768306,4
3040,-24.129980787162403 -49.15893389420805 21.67654193197594,112,56,1184.0550211608686,4
3046,-49.03042567788741 -47.17825550144869 -17.890965322803495,51,57,683.0643188984461,4
3065,-37.77405717548688 -68.30444308218435 -12.43348760562072,145,58,1745.3759359994406,4
3071,-29.24684807684665 34.04765249969311 -28.12371474937784,75,59,812.133890688652,4
3091,-34.02225768827639 52.46700521761435 -18.572826279423616,122,60,1285.7836609839524,4
3138,-44.59636617783236 75.66173243983825 -5.269795823967642,193,61,2022.451639049618,4
3153,-41.8673970390474 38.140640098152815 18.265949711213118,88,62,942.3641053972342,4
3161,-46.30175417896456 45.644875898173865 6.668593345311268,136,63,1440.788529585293,4
3300,-13.55591187944215 10.170372230518172 51.69354417653031,122,64,1327.8242571507888,5
3348,-1.9585823424937747 -31.44361718677652 3.9393331895261596,162,65,1884.8208468969524,5
3399,-15.602428644759527 -44.4275974165643 39.41373523455247,150,66,1695.7711995698269,5
3418,-10.827044310013784 -51.90974211503121 29.86288567645861,191,67,2168.1737007733177,5
3425,-1.9585547739268327 7.441655234499488 37.36729089052704,71,68,848.2553633823605,5
3453,-21.060096201766736 -9.657426980026246 43.507088967781435,110,69,1214.423260876881,5
3477,-17.990166149347097 -20.550618023468573 44.5303356746318,150,70,1682.2877593221153,5
3489,-19.6956849632814 -19.890409869675302 39.41384632830015,172,71,1938.4242844846913,5
3494,-27.882169380571142 8.806006473565605 34.638585500985045,56,72,633.1332891188408,5
3501,-23.106741957092634 1.3458188892682035 37.367341159579546,46,73,482.1834217422168,5
3548,-20.71914555285221 35.41184217681356 30.204364050763044,138,74,1327.091431086257,5
3570,-26.517921689798595 47.69148214170017 16.901532511807105,103,75,993.1443830586522,5
3574,-9.462996595328832 81.80152612268823 17.58380697648264,43,76,368.3507245424503,5
3618,-25.83585209098883 77.70835648519132 -0.15335301931644962,88,77,875.4856881366655,5
3660,26.726586703814814 75.66185559520243 5.304054706037375,125,78,1406.6850918942994,5
3667,4.863106654270676 64.0645105763313 -21.98391580301547,91,79,1010.2493376495188,5
3706,33.878835007572974 -58.07116985229149 -39.721701651505775,320,80,3344.5688719566974,6
3753,8.274412413315643 -76.44666281237794 -27.442083194766578,166,81,1904.696390007691,6
3757,-1.276310318151175 -55.3206353130963 8.714637014650044,147,82,1671.403380849452,6
3764,1.7936146674721112 -56.64104047299887 14.85442201639626,321,83,3320.513816827448,6
3790,-1.276281461499891 -81.28821390885018 -0.15406598712800385,185,84,2168.678385714194,6
3813,2.1346331492156736 -56.64094826202566 -8.340381701278606,194,85,2065.8768242641067,6
3845,18.804623256697973 -82.60857319669475 3.2568586434505393,250,86,2836.0890128531532,6
3852,8.274544723682176 -62.142657713676634 19.62977815945909,196,87,2198.6564504571024,6
3862,4.1813698558154995 -64.8934953827615 25.087381178625908,106,88,1257.6307536043412,6
3910,-16.62587611799099 -66.87395674102156 -17.208956859180986,317,89,3261.7132194708834,7
3946,-8.780514996978747 -80.51797377841612 -9.022636877388162,132,90,1415.7219805043806,7
3962,-22.424467035270574 -73.03588302325909 10.079041880652564,291,91,3208.585821133564,7
3973,-18.67234921950458 -72.37570393445561 15.536631832375665,228,92,2415.622791486788,7
3998,-22.76561048867276 -73.69602465102864 -2.8827609156370055,126,93,1235.0469914279904,7
4008,-11.850472491002279 -46.40800201640294 -2.8826917055539973,149,94,1730.848481670441,7
4054,-32.657642760959426 -69.62471982273894 -37.674912585060206,340,95,3587.500255899329,7
4073,-4.005194702623003 -35.514790370555396 -2.200476133540847,140,96,1536.410074413714,7
4089,-14.238245304823819 -47.1781508935865 -24.030888017555657,237,97,2797.7412484859797,7
1166,25.0 -74.0 -36.0,351,98,4122.463619767419,8
1171,-25.0 -74.0 -34.0,351,99,3941.424265045334,8
1176,28.0 -55.0 -48.0,184,100,2066.538542224584,8
1181,-28.0 -55.0 -48.0,184,101,2192.0606259905007,8
1238,32.0 -40.0 -60.0,184,102,1962.2526492109819,8
1243,-30.0 -48.0 -60.0,184,103,2291.8130333374315,8
1188,-3.1 -16.3 -58.5,48,104,436.96800697671074,9
1191,1.6 -15.7 -57.2,48,105,414.2035312511118,9
1194,-6.1 -14.0 -50.4,48,106,452.4070662212552,9
1197,2.2 -12.8 -51.7,48,107,365.8731148528809,9
1200,-8.2 -10.9 -48.2,48,108,408.54434906060516,9
1203,2.39 -9.2 -48.9,48,109,431.43552122694894,9
1206,-8.8 -5.81 -46.1,48,110,386.8700676972122,9
1209,2.7 -3.2 -46.6,48,111,398.24722958644963,9
1212,-8.4 -0.6 -40.7,48,112,392.37424149500754,9
1215,0.3 1.3 -41.3,48,113,499.6085382741518,9
1218,-6.8 3.0 -34.6,48,114,409.3416724323923,9
1221,-3.0 1.4 -34.0,48,115,494.5679018298857,9
