NodeID,Position,Number of CouplingPoints,ClusterID,Area,MajorVesselID
1308,11.439133413322633 64.04872476941804 -5.4269539314704165,137,0,1426.6162132104153,2
1319,23.566220134400133 56.33719584166809 9.353430293007515,124,1,1345.5289746509466,2
1323,26.77931933020097 67.26188550554305 4.855036540275567,102,2,1020.6242500046334,2
1387,22.633544979740236 35.77305491529121 41.1634903355611,276,3,3203.582608766184,2
1450,6.889224025124344 -31.018804354366477 22.205938603542666,222,4,2352.733254074485,2
1462,7.853053910399123 17.779468099986335 19.95680276743686,219,5,2090.482070794141,2
1499,1.1055299576568174 4.926880582156989 30.560175906176088,184,6,1971.710600771347,2
1551,10.423684839342563 19.70731677920052 50.48162538916423,265,7,3063.929962697264,2
1573,3.676073614501768 -16.300563309536766 27.346996444383567,222,8,2646.7985268520274,2
1584,1.1055407941933577 -0.21414349449642842 30.56016894275217,172,9,1857.2723644042123,2
1641,52.173401897683924 25.49117761236337 -38.84382610274742,98,10,1030.8108311233073,3
1654,53.831809793186885 20.99278327114744 -37.55858115673334,106,11,1111.7633935436368,3
1664,61.50198775649842 13.923863128604006 -16.35189888209971,94,12,1046.74858020574,3
1676,41.601273240184476 19.70746083574233 -7.355019154908768,89,13,1011.1426690859646,3
1799,41.91243366300109 -62.52820465210546 2.284288022729886,127,14,1327.4006120923962,3
1809,65.33703034329447 1.0713192483496035 -22.135583586027774,72,15,672.2091955581587,3
1816,60.88008363267815 12.638609554407497 -18.92240960686408,83,16,907.4953365813188,3
1888,35.79685539704826 33.84526638430301 -9.282860726877583,182,17,1862.9817142588884,3
1893,35.485924869230296 38.343652685462146 -2.5352594839422617,119,18,1542.5670149055481,3
1923,42.53417427656553 27.418976182909308 9.674629117836812,101,19,1158.610748637717,3
1997,37.45539096895136 -6.039144055968507 5.17620817000453,121,20,1254.5714120179478,3
2007,46.05843401515587 3.6417060409527604 40.19941406822971,243,21,2878.968435978573,3
2022,43.15628661097979 -9.874222573065644 43.733861249357105,134,22,1490.7336782096909,3
2103,45.12543852722733 37.701014784781485 20.599308412072794,184,23,1984.4123904051396,3
2153,27.50509370839549 5.569566712565011 28.632185786179477,167,24,1895.3356593252536,3
2162,43.881753795202464 1.0712043893693393 29.274742559901853,198,25,2106.2207880592277,3
2185,22.94457979049861 -11.118052821629897 37.62897177632858,64,26,809.9241359034463,3
2223,49.5824833319999 -25.317972173626984 14.815553252500111,161,27,1859.4600758898328,3
2280,22.633735766826295 -53.51077621847311 41.806000240176,75,28,833.1743987700199,3
2315,15.896437887163971 -49.67573116234861 26.70427313221455,82,29,789.9369881077884,3
2324,19.731444104082584 -32.98812769656207 27.34690914188769,64,30,671.3843533655969,3
2402,14.23809949252813 -63.875749763364105 33.13054128352016,109,31,1120.359884228381,3
2417,26.15779346186032 -68.95454681467402 26.0615787845169,58,32,694.1737200378544,3
2428,16.518382720114364 -74.13705006220104 25.418981748677396,93,33,930.1256390318672,3
2464,38.388330601711814 -52.26689431686622 3.569572114916948,104,34,1216.5922378366643,3
2480,36.10812420598351 -72.16765689018204 14.815544094571845,104,35,1106.1025596897312,3
2486,39.01026807968482 -60.66252696716823 9.353209583859805,90,36,978.9062459600538,3
2497,-25.24247902112008 20.349974041800778 -25.99096167002767,262,37,2913.896699780992,4
2532,-43.23607409718414 31.274607453240215 -23.420360895625898,274,38,3078.9681841802444,4
2568,-46.449122485527674 -4.691842782675748 -18.922000567256553,144,39,1632.44200253763,4
2636,-29.419467207127347 42.19927028865747 8.389683349771241,97,40,1112.1084875498375,4
2644,-41.95068451148052 46.69762647901028 18.350473447446223,121,41,1344.7158716605438,4
2655,-54.16076119403555 30.631961458414743 -26.312144651009746,83,42,1028.9142773842116,4
2680,-40.02291331242611 40.91401894020802 -12.81699940841606,88,43,1029.227668386788,4
2692,-41.30820857462682 41.55666056056959 -22.777727853700668,62,44,617.5643543700098,4
2707,-46.12785010928858 40.91399649714212 -5.748067220739185,82,45,891.7317777381313,4
2790,-66.04932529543755 10.067835619320734 -23.42029768721729,85,46,929.0660402943096,4
2836,-42.271924741647474 32.55979472588918 28.632503529859367,123,47,1317.015488324682,4
2873,-32.31110242349219 -0.2142182842787035 33.77344395547557,116,48,1251.7601724209562,4
2949,-46.44891881532923 5.56939951221695 36.98664713563719,87,49,1074.4249653350182,4
2967,-47.09156809402651 -4.691905066818834 26.061961005472767,120,50,1378.561499688999,4
3014,-44.52096133377714 -25.318203171664877 38.91448213597993,128,51,1366.1152541027166,4
3042,-33.917546369506184 -44.597025302501436 42.127551667978715,154,52,1768.2231109421534,4
3065,-26.84869334805624 -36.2013712185139 32.488115477529355,189,53,2200.442892914259,4
3081,-26.84870231184284 -23.348817884365868 36.9865289820927,210,54,2265.072602980507,4
3148,-48.69840267526225 37.0582423588067 -17.957994627718,132,55,1390.3136541554459,4
3237,-63.15734491353119 -38.17073485878257 -10.567815251863424,152,56,1588.900667347036,4
3263,-47.73415796015262 -67.71087741408492 2.284642259109571,134,57,1457.8337551302618,4
3286,-38.415983103761114 -67.08898567028872 20.278189688460696,278,58,2861.3700953353978,4
