NodeID,Position,Number of CouplingPoints,ClusterID,Area,MajorVesselID
1351,17.284081084883184 35.589415055288505 42.903247622100295,151,0,1614.5789852841017,2
1373,7.525242279964125 32.89750453543808 11.944350564195828,149,1,1579.1326415871026,2
1396,7.5253679437071 18.090837837904488 48.28730918262665,131,2,1395.439116128971,2
1444,22.386155454641354 -6.832536610609206 46.941074550976474,262,3,2869.9256369641753,2
1462,19.672357108631207 -6.832514987488702 42.22994733179509,194,4,2336.952292379139,2
1477,26.72815939285315 5.3035927585017 38.86491158401999,170,5,1750.3316799532308,2
1490,21.951849006864823 18.090947874237234 38.86500502387786,148,6,1664.7767133623022,2
1510,2.81431832925408 -21.595475668878127 26.077415761142195,85,7,913.3741337923742,2
1573,18.91258482239215 -35.05590205872591 39.53768283733537,91,8,1008.8445011027512,2
1582,22.711911666508858 -33.10205256344221 53.67109873467512,72,9,754.4766212555321,2
1590,5.50648423624646 -35.05599108960334 46.267907158398295,119,10,1288.2419586298663,2
1604,18.91256395438132 -23.006742151898024 48.96003553840839,124,11,1330.8897535819026,2
1652,23.36291828929063 36.93561287113502 21.366617916166504,127,12,1450.5268411535687,2
1671,10.553608365905266 80.68209239139185 -17.331694606884408,98,13,1021.7879510506476,2
1711,52.563184738828305 27.513843299765643 -40.551304240816314,138,14,1644.0602538462263,3
1864,39.2117401287372 -47.86483125364199 26.750186708970844,117,15,1314.8937877973865,3
1881,42.90249110559366 -37.76962304822771 41.55667436832833,228,16,2506.626341542987,3
1901,19.99808118004275 -34.40453603130658 31.46145169925199,145,17,1795.1599837370059,3
1925,36.82352748909154 -20.944095535227685 32.807543300087325,219,18,2342.9227939930774,3
1955,36.4978863408264 -15.51661729058841 47.61401094371336,90,19,1123.5427860363109,3
1964,51.91204792909115 0.549387929921988 -2.189364308060274,97,20,1047.916836097522,3
1977,60.704684766545 7.996088414407394 -7.573490502156985,84,21,918.1635784132758,3
2047,35.41209717975306 29.53265161757211 -10.938394264903524,89,22,1006.8544118316121,3
2068,46.26712803893125 63.85671032069575 -14.639801268760332,124,23,1330.0918787131704,3
2099,37.80024100537844 47.703967625453636 22.712696928559502,123,24,1267.434605084292,3
2127,36.172016930131946 30.205483657598776 18.00144907928561,201,25,2152.2764727123918,3
2165,28.682070602629082 9.341723518601889 37.855404207041474,126,26,1547.867287265154,3
2204,39.21162799733353 -6.1811269372321815 40.210851485553995,107,27,1192.6621555295278,3
2212,63.092854058628376 7.3229759774222485 7.905950046794606,174,28,1660.1042455257332,3
2321,60.70465565597137 9.342204667145047 -19.351323240987515,119,29,1310.8670928627935,3
2342,67.10921139909127 3.9580848785739806 -21.706940266069825,126,30,1355.9256027692477,3
2360,66.13241442657723 -41.134280758016295 -13.630998413077943,141,31,1436.0703830889609,3
2399,46.26763000488196 -70.11776349370741 9.924537942288987,124,32,1296.6784965956747,3
2424,49.63272400167225 -61.97646571215881 22.038935818881228,135,33,1494.8352253904422,3
2431,45.507647548098596 -37.11806532320285 5.213618430814813,219,34,2327.7633716877153,3
2444,36.49749830768484 49.723387195868824 -33.147911001137764,87,35,949.2956794216841,3
2471,46.59277232153445 56.45360431765653 -31.1288288232421,110,36,1270.0994288675527,3
2631,-56.075029155531396 6.649572719377396 5.214116149959097,105,37,1157.4875452708104,4
2639,-34.87480377689447 -10.849026718653686 30.115681135825,73,38,656.3608649481695,4
2649,-29.49063580105101 -7.483985638057918 41.55702315846164,100,39,1244.0626586273825,4
2700,-28.817501642905096 -66.75285433790535 0.5024431889777036,177,40,2157.6774891038713,4
2716,-57.420943665946425 -47.213532684682626 -21.03399598593949,94,41,1044.2941613687447,4
2721,-64.15125031741067 -16.927651645768865 -25.071900806378405,110,42,1273.518490843367,4
2739,-58.767155046161115 26.840074894024784 16.655585376895722,225,43,2442.97986517323,4
2791,-32.182780026149345 12.70658734552415 42.2301831063123,89,44,900.8711509687067,4
2797,-38.57638953657785 -6.8327416914357775 46.94120178932788,56,45,662.2156036556036,4
2802,-34.538331747916516 3.957365115226342 36.17295296234572,116,46,1345.0991708565239,4
2872,-58.76721054048999 32.89736060238813 -0.16986337949016575,148,47,1514.8453421845331,4
2895,-42.6147598420602 51.06881297490244 19.684297758919985,141,48,1552.233587801169,4
2914,-47.998849839972934 35.589305270804346 26.07789509713444,185,49,2166.0028288385124,4
2934,-46.98947668308914 59.14523541424798 -10.938028978789157,121,50,1195.7717784184679,4
2956,-45.64349407175931 68.56758428206452 -21.70628318557551,57,51,741.6156779950026,4
3071,-41.94139003912336 -55.89784328250244 15.645481554867018,80,52,788.3864182832164,4
3076,-22.76030361965299 -53.29265629541509 32.80745650341733,164,53,1832.2921733033945,4
3082,-23.09677525891407 -64.03926184753375 33.480407518315296,123,54,1415.6476942563136,4
3121,-17.37619208009509 -39.832249895311335 33.48055359233507,176,55,1780.9157446773206,4
3147,-31.509655242384497 -28.32578747677682 26.07744346854861,136,56,1608.3927179703824,4
3161,-29.154113134502296 -19.641665097398544 27.42353409271689,197,57,2128.822464190014,4
3251,-50.69073187360299 -47.21355836928405 -13.630794265506905,140,58,1556.9635107328932,4
3263,-58.4306510844865 3.957675736301457 -23.72573756099483,156,59,1811.5024206274704,4
3289,-59.44017534827459 -6.83225394016304 -38.53223535141979,152,60,1520.7101624650331,4
3324,-11.99220741016245 -1.4048514399508534 12.617186815267791,93,61,939.5636924139702,5
3392,-21.750818704229605 -30.388378479416062 48.287053833900686,322,62,3460.781294515625,5
3410,-0.8871386751018253 -57.960342059398876 39.53757465166891,169,63,1814.1989999647744,5
3442,-7.28094914948178 -14.214163858266176 50.306188527954156,179,64,1925.3515115050313,5
3450,-10.646186992183624 8.668687692035006 20.020465529753654,108,65,1383.4807679524986,5
3549,-17.376304503638206 1.938293888476996 46.94121479486022,101,66,1110.0566858066027,5
3571,-20.404936143378645 16.071685598065777 48.287354297911016,175,67,1728.994169382896,5
3579,-29.490839401217556 46.35764761213909 30.78906171310187,123,68,1327.2759638317543,5
3594,-28.481220899397627 20.78289985517491 32.134933588418505,212,69,2347.841393731841,5
3617,-26.462463289977467 82.70099643134995 -12.620467144718745,81,70,846.7190916313319,5
3646,-22.08772028837013 61.83726070331929 9.925541962811819,257,71,2972.04046894951,5
3720,5.169965433205072 -65.3415224785658 -6.900833365873707,218,72,2446.2648905751225,6
3761,30.419085797707037 -65.34153858324825 8.578563344296214,140,73,1480.8053756283985,6
3771,19.672545219510912 -79.45331893491628 15.308688963559971,328,74,3843.7081827966285,6
3802,16.30737862641512 -49.9274070563866 30.11531922112792,135,75,1354.5589367554542,6
3807,11.56363991005704 -44.499788876749456 21.36611096494542,185,76,2050.8606041638086,6
3816,6.516082868470385 -61.976703016010575 36.17243688268935,173,77,1982.4511374554786,6
3835,26.402598440159167 -55.897417872185585 -14.304031284880677,146,78,1552.8647552136442,6
3843,21.626317559992483 -51.881030253283036 -14.303995098525956,74,79,836.8183164577667,6
3851,24.014402950877205 -42.43698245101628 -22.71668282651643,144,80,1629.8832358909706,6
3865,31.395841060723544 -27.67389717267928 -30.4563257936745,178,81,1934.1790840143758,6
3881,34.435210490894185 -10.197037988247079 -38.195941983708344,164,82,1655.7193675825308,6
3939,2.1414255285392643 -66.75283805489637 13.96276960384218,293,83,3256.5305445543436,7
3972,-14.011118696303503 -54.59501773011562 -2.189586675757721,217,84,2526.5540807724556,7
3997,-17.712657849981298 -55.24654425002252 29.442335043503864,224,85,2481.005996908408,7
4021,-5.2617505838216765 -74.13441081887048 20.69293217706871,226,86,2413.7861647007353,7
4027,-8.626848401664008 -67.40430023107317 31.461296035039013,441,87,4655.690303059816,7
4045,-13.338150089451151 -49.92718608078039 -19.01504639194005,130,88,1363.6065561280318,7
4050,-22.760525353317835 -24.960308417038327 -27.764117338339357,208,89,2222.9527240029943,7
4069,-32.18270111489856 -54.59490752485822 -28.437311577894828,223,90,2269.0644943662737,7
