NodeID,Position,Number of CouplingPoints,ClusterID,Area,MajorVesselID
1292,-1.1981316706785679 75.66404118194373 -35.99143021138856,297,0,3184.412352112292,2
1380,22.486850742180625 13.382933699890469 43.90942836700001,326,1,3438.415322556199,2
1420,9.345997517675176 45.166064071895285 23.622562309037352,268,2,2842.655830760069,2
1465,-0.5784239240029985 -19.357185192077623 55.91320816088931,243,3,2901.102193710951,2
1506,8.538177990851302 -17.385443429635423 36.18644299559662,213,4,2284.919498334863,2
1529,9.682533175225169 -28.696601114318614 30.283341291044643,200,5,2305.315009020388,2
1551,3.5935711146378324 -34.01068999328934 58.63290774990509,162,6,1807.7139624246652,2
1565,-1.9350135374195814 -43.31400104032127 41.5095261533895,215,7,2214.7446573062302,2
1649,51.69776593739711 5.964538912335905 -18.66091634157466,177,8,1827.1577725877773,3
1749,51.54086512760875 -58.91521435268584 12.40649402513239,356,9,3742.4224812115076,3
1771,34.92798678913332 -43.5085273544386 41.48226551018489,219,10,2311.471035830019,3
1799,26.92230470268387 -62.11561425732002 37.969622913845804,177,11,1999.201990491065,3
1816,39.32493044394745 -61.22540012688023 22.37474898024774,134,12,1558.264239994768,3
1866,41.953738839616 -12.248534846513909 8.133026703057237,175,13,1850.6870470482822,3
1921,45.820202025849426 0.9053991965024428 44.47690218352226,172,14,1904.0772605655288,3
1949,32.94735113640252 -18.645342013678665 51.45964309112183,237,15,2679.092817067167,3
2003,35.53288520358911 5.903545699016863 43.25256497879157,134,16,1575.2446497735773,3
2007,42.7306713114151 8.071020215334777 41.25983407723159,219,17,2370.183508387241,3
2019,33.15523175823834 17.710852769367225 42.65030361056358,123,18,1352.438456029577,3
2082,49.24174387767444 37.56852957496665 -16.594472937100633,324,19,3654.2381443786735,3
2121,30.50037701662734 21.856055186700956 14.956729849040396,170,20,1913.074773578473,3
2129,31.52514162589083 32.92946360989096 22.72596645368105,176,21,1828.279347319774,3
2135,38.663960515489954 41.01893339366101 20.67280642095747,335,22,3726.279174546314,3
2152,-40.764548014959885 23.34658112830821 -39.811275397781706,138,23,1517.4410023025694,4
2203,-61.577217231537155 22.465013028910807 -18.50419895673195,220,24,2350.8736341748395,4
2239,-50.34108882655028 30.614990950347504 19.5245552512093,132,25,1505.347144593966,4
2246,-46.82446661390051 29.608690255382434 1.0965082063956748,118,26,1320.7211909507166,4
2266,-60.69767288295786 36.67579157719667 14.066237297354569,133,27,1550.7894373961692,4
2278,-38.292185467848675 40.142015075161474 -21.666234493029776,206,28,2264.780778180053,4
2351,-54.20354439785896 17.416567967488398 30.962323483654398,145,29,1554.7316772340616,4
2368,-37.315313498710765 21.704905000883524 24.176603101729853,91,30,944.5273361827215,4
2378,-56.643613247803174 26.25151118157764 3.51532243502016,64,31,756.3452087229555,4
2387,-50.06659901895742 30.13695026903089 20.31892201524396,196,32,2405.596883800302,4
2422,-44.57254136222026 49.858020796607775 2.8274297334759213,90,33,847.4067258817547,4
2448,-52.426136470658086 47.842117363705555 -14.502249713250908,185,34,2157.694841662421,4
2455,-52.85723296427931 59.49508463654201 -9.956016042883228,154,35,1501.851435929878,4
2524,-50.415152728541074 -28.57885899804817 -13.098015561063967,177,36,1883.7097301541753,4
2599,-26.441817698516555 -59.65952743620912 38.635373121316476,150,37,1682.2219527993225,4
2644,-61.46442208184489 -8.690061753780846 32.57102207860714,93,38,928.3149987879498,4
2693,-29.365701983055065 -22.288599803921336 56.904375231510016,82,39,952.2161338947346,4
2728,-47.724271181877974 46.25412647014716 21.362656492829405,105,40,1269.888150627024,4
2750,-35.182999674418966 -9.519377873406068 40.57640095163699,99,41,1126.6900120200444,4
2827,-42.36717793609432 -20.600679776233605 38.68082257225368,273,42,2926.4890861025165,4
2842,-67.12679762780765 -36.17481512235638 10.728069202201432,131,43,1331.7011785057098,4
2872,-34.69804383890017 -52.47553827464991 35.38397127947668,142,44,1719.3309826562568,4
2923,-32.00552350116665 63.94815370761518 1.079689920051857,88,45,965.8082857466169,5
2960,-27.741660362687604 53.77118670720045 25.65044184329649,212,46,2199.572981414669,5
2970,-35.96605388124077 59.57733291550023 7.794680610081204,183,47,1921.1599542893662,5
3037,-34.64048652301494 7.56125710610303 34.6342029894066,185,48,2094.1286807322426,5
3044,-35.2764055262315 35.87886367759901 39.58619063994241,273,49,2908.751056693209,5
3111,-15.44067311538771 -29.770584517873957 48.01609627786422,75,50,811.8838271573876,5
3124,-15.612932046146213 -51.11884965741039 44.36529216548692,112,51,1191.9273570812202,5
3172,-26.68364766861776 -3.314463271282291 47.68401897698829,131,52,1547.9479985488238,5
3182,-22.165162371808673 15.670706321971466 49.537195420697934,231,53,2611.86145211456,5
3215,-13.682618648211466 -38.91495039240173 56.91001692970586,182,54,2124.454062884875,5
3241,-9.844469560163732 -28.647388957382912 41.51074283767238,150,55,1478.8083830228682,5
3254,8.635908903839084 -29.103675081775872 -16.80234712627649,529,56,5681.307008298112,6
3268,32.28031911561931 -31.346043465403472 -3.0119260537281285,458,57,4979.844943159885,6
3290,13.632269053178154 -66.85975387155943 -8.296836361115382,348,58,4115.960515966531,6
3306,4.6572652603367946 -28.286026156195888 -10.63707417252878,56,59,540.6795658738317,6
3322,17.49400159342262 -46.29919287174818 17.69134008250876,275,60,3064.284660442171,6
3339,4.219497553352944 -60.209612958472526 20.011047789423635,221,61,2386.037192793669,6
3347,-17.951336140764123 -29.56591147928993 -24.85920145848269,303,62,3372.1206440875903,7
3373,-20.296892104592818 -35.040390819813815 -22.749474865179987,581,63,6050.181229536137,7
3384,-24.390510004079687 -11.231488614487237 -23.289564047621155,175,64,1844.95446148052,7
3427,-8.170111638607054 -60.26418444732278 2.5690984792951035,283,65,3218.642627020929,7
3444,-0.28889400192571646 -61.573774137878466 20.014001843002916,390,66,4250.043348529045,7
3468,-12.23599145143939 -66.38431687849744 30.253376822406366,231,67,2453.248553838842,7
1166,25.0 -74.0 -36.0,351,68,4065.8406041585727,8
1171,-25.0 -74.0 -34.0,351,69,3836.930961275164,8
1176,28.0 -55.0 -48.0,184,70,2282.641958906301,8
1181,-28.0 -55.0 -48.0,184,71,2115.9781596952694,8
1238,32.0 -40.0 -60.0,184,72,2054.4173374189095,8
1243,-30.0 -48.0 -60.0,184,73,2220.7437141220307,8
1188,-3.1 -16.3 -58.5,48,74,465.43832857724846,9
1191,1.6 -15.7 -57.2,48,75,436.41553115568206,9
1194,-6.1 -14.0 -50.4,48,76,416.01419078901404,9
1197,2.2 -12.8 -51.7,48,77,344.70371441009354,9
1200,-8.2 -10.9 -48.2,48,78,547.4471417507858,9
1203,2.39 -9.2 -48.9,48,79,405.6698276803894,9
1206,-8.8 -5.81 -46.1,48,80,418.752747739893,9
1209,2.7 -3.2 -46.6,48,81,416.23608489497065,9
1212,-8.4 -0.6 -40.7,48,82,366.7692774239974,9
1215,0.3 1.3 -41.3,48,83,415.8455601908372,9
1218,-6.8 3.0 -34.6,48,84,401.1605659076964,9
1221,-3.0 1.4 -34.0,48,85,455.98827038400395,9
