NodeID,Position,Number of CouplingPoints,ClusterID,Area,MajorVesselID
1311,10.354005454696761 78.93027849835781 -10.524830952666669,255,0,2849.7082601413226,2
1324,-4.418391210274387 77.67290092912175 3.6191323725814155,128,1,1467.3113043988344,2
1342,-7.875676362746133 65.10049768278452 13.676942316654193,170,2,1756.2187611174572,2
1406,8.154338514060155 9.782173221616615 30.020521654910677,185,3,1965.2658556822798,2
1460,15.667507851406 -3.418892996572838 52.02197477628928,263,4,2965.702285836327,2
1470,20.12860372417852 6.010396493209127 48.250304299290576,311,5,3381.665237153098,2
1489,1.2397937913819546 -17.20796066226546 53.27921181845902,294,6,3213.9470905846442,2
1502,0.611026708157443 -15.991140776781249 30.649024372110237,113,7,1222.9506064667685,2
1510,11.926006673845858 -5.345091962863408 17.44806743267013,137,8,1430.7665984222062,2
1513,1.2395756220653826 -6.561852451427287 24.991529882414003,67,9,725.742826422719,2
1584,58.149637946718705 -2.8102264739245437 22.476717203297923,101,10,1122.4240193152773,3
1616,48.11208696176964 7.267813879470776 33.791948655262324,196,11,2221.851917861973,3
1641,22.663385029699228 -21.060617409900228 40.07810128738745,73,12,736.2022699138613,3
1655,36.148257833212945 -34.84956902205389 37.877766001927675,116,13,1256.4691677500514,3
1679,32.396781267282215 -25.42031154660966 34.42045840500103,79,14,890.3612125466612,3
1688,31.078809184648286 -36.77602727519331 43.221029049636066,128,15,1305.1304375388597,3
1716,50.24072442200249 28.641260845455573 -40.38470078304148,114,16,1189.4226213413435,3
1752,64.43567607465526 -9.096225405567857 -0.7821809636112678,92,17,997.2433432552245,3
1778,62.81334228145972 -23.49344030998724 -22.783846645084008,99,18,1217.7692529845463,3
1828,33.004809185816534 4.75350269983409 1.4182688210070125,79,19,842.287306577787,3
1873,59.06213585086091 -38.6006949022101 2.989366802819809,108,20,1281.782105655265,3
1925,48.72047706772783 -56.85092745843847 8.646868126839134,67,21,716.5212398149386,3
1938,32.39681651793936 -66.88863226747539 18.704777408048127,65,22,561.7268628426772,3
1950,29.253796796670297 -52.49140310118339 35.6775419714723,72,23,707.3283428223332,3
1968,21.953735232165073 -57.45951656675077 33.79170691453261,161,24,1817.3041691394887,3
1982,17.289701913469646 -44.88713639288481 24.362565138794988,80,25,888.807665209603,3
1991,30.47035565045477 -32.92311819341079 27.505639752916746,95,26,1027.9868780205786,3
2046,28.239509565055204 19.84021870379561 12.419188097384437,123,27,1299.505645870732,3
2057,37.06036285525916 25.497838037097438 6.132999581645668,52,28,619.3501130413879,3
2092,57.54111693258612 11.039749091428614 1.7324582851654013,59,29,615.8311026489375,3
2157,23.57573216437903 6.639144208325278 29.391784365914134,107,30,1253.7540662745423,3
2171,15.66727243717157 19.840081397625895 27.506070541954553,106,31,1157.9648032813268,3
2185,32.70069125348634 40.58448408119376 28.134707678406663,87,32,1036.1747299964438,3
2212,40.20372258631209 7.896364444277952 40.07817166433376,56,33,593.9711672869809,3
2228,39.29119295896756 2.2388490558196077 34.10627967256419,118,34,1301.3223149477599,3
2236,35.53985157859032 -7.778518761021763 41.02102381593873,106,35,1163.8136226849465,3
2248,17.289701914414373 -11.631393292325765 41.33542717413535,155,36,1738.059971733173,3
2287,50.849341660499725 37.44159373076162 7.390219872337048,79,37,917.5913983562656,3
2309,34.22106583495857 44.356641867771586 -42.93952056732682,81,38,803.2093897950562,3
2355,26.10992293052244 80.81623115871353 -18.382629764612464,92,39,974.6175229648973,3
2374,44.66435291743384 60.07191018738115 -13.982564413119913,55,40,750.1107064760959,3
2404,30.77412667501936 43.727711259991025 4.875922817910221,55,41,655.9956275120886,3
2416,40.811564305164296 58.18602676631054 -10.839468501238297,61,42,630.2217033486424,3
2425,-25.162854053805628 25.49792793731491 -40.38423289294786,56,43,633.3408231638733,4
2448,-27.677130529586655 15.439896569128644 -15.868230505702481,99,44,1064.1544958912584,4
2480,-49.36463043048607 25.49787969661594 -45.37245606947179,122,45,1315.7463343300956,4
2536,-49.36425923682269 -26.02860939282328 -14.296811531411528,83,46,854.9259488410323,4
2544,-60.99376862867398 -3.418701094592937 -18.068293248728438,105,47,1486.157802523677,4
2559,-61.93658654626044 -27.955060489512782 -13.98243364302886,89,48,888.0687141266345,4
2664,-41.820602435493534 -14.774607571435354 31.277922246788727,84,49,862.3572245807519,4
2685,-26.419574953838588 -0.9043974798588023 25.6203603789161,68,50,669.4107644146262,4
2699,-45.592341952499304 1.60995816615898 33.163899490378924,80,51,821.0571912798849,4
2712,-55.65059701542559 22.354587677814745 -15.868005617834024,239,52,2619.2342380512405,4
2725,-40.563850439380296 31.15529765727866 -19.95405471071738,91,53,951.1162655551561,4
2763,-50.62159373979688 31.78375434361926 -0.1525602706066724,104,54,1212.3447392979351,4
2790,-50.62158823998033 10.410851182955673 -10.210563696862657,100,55,1086.3702202476384,4
2811,-49.992829530017865 26.754697957323902 19.64883040700101,47,56,435.01008096946134,4
2851,-37.73477133108313 31.15500964231445 26.87787032859095,46,57,509.07685165472714,4
2862,-31.448565806852564 16.696853869517795 25.62050467333315,89,58,994.0567363568822,4
2872,-26.419591727702855 6.638995089534353 26.877641458874475,203,59,2228.9398512344937,4
2881,-41.820986810004044 14.182599750189668 -13.353679646112825,88,60,994.0967444854006,4
2916,-50.62158852418239 44.98465777617657 7.39092426619366,84,61,949.3868192393581,4
2959,-36.47766560108479 53.15665122916129 18.705985231958454,99,62,939.9761645746901,4
3016,-34.27712528021971 -32.31503276651996 33.792230371537855,112,63,1265.0089339630017,4
3068,-27.67662041476027 -41.744262749706685 33.792127797266595,59,64,781.3156071187486,4
3082,-23.904947349742848 -40.52754807487737 30.02040963565009,103,65,1310.3817223920207,4
3141,-21.07615793058865 -24.20384975495347 40.70697994207551,128,66,1471.467149856538,4
3190,-21.390435030449005 -60.60269777606469 26.877181975491766,174,67,1946.385416251612,4
3234,-30.819751534500163 -66.28047187483018 13.676256568308828,73,68,819.3961158728004,4
3269,-29.562508208097526 -66.8888129085895 14.933477755245791,80,69,845.0529534421057,4
3301,-16.047245260233023 -74.49298269357487 11.790259072475175,96,70,1035.678648965144,4
3309,-31.44843323556541 -51.78171856171391 11.16188536008357,123,71,1306.8102343718665,4
3315,-34.591636693100966 -57.45942388376062 -10.211098344662325,70,72,843.9634953786255,4
3332,-31.134152528946345 -68.20678470751862 -1.4105546128578632,127,73,1358.381234128852,4
3348,-5.361367589707921 26.75516264352471 -30.32648755291234,145,74,1600.7092767787726,5
3374,-8.81864520718287 46.24209478853329 -2.66720585299362,56,75,665.3252176755584,5
3384,-6.304092527153352 39.95587137774573 7.39060560960919,119,76,1415.375292713034,5
3414,-7.246999660987886 48.127839085944785 14.305447074575124,58,77,717.8994404438648,5
3418,-6.932767237514545 57.55713774040245 7.3907214348187615,27,78,293.4896993124295,5
3445,-23.90531295478766 43.098839371691305 16.191372695381997,111,79,1216.373982956027,5
3475,-34.591663282434396 36.812524475236955 33.79267132627374,114,80,1262.2134118974652,5
3583,2.4969928908629058 -47.42198191574059 32.534661411313785,84,81,1053.7475553672912,5
3598,-7.246487515958135 -37.38453293682782 49.821746875143695,40,82,355.62562583078284,5
