NodeID,Position,Number of CouplingPoints,ClusterID,Area,MajorVesselID
1299,16.174327398272755 69.797583801111 15.100856199559505,134,0,1442.9667658424273,2
1311,14.231261016858522 74.89683655895828 -2.108787870234954,131,1,1356.0887085344345,2
1351,18.024904917561933 29.00425712484891 20.19979338934401,90,2,1006.5393339555444,2
1366,14.550101915543337 40.477218403359984 47.289165695891775,66,3,686.5217304282368,2
1390,30.1559953961599 27.72943713362204 29.123299927019975,84,4,912.8228554669907,2
1399,30.772853650315135 25.179796069386775 39.959005116117886,130,5,1523.955583025054,2
1452,11.04447248506766 -12.426484186275713 25.9361383334469,88,6,1004.3249507455832,2
1459,3.7144616733844256 -36.68863442671871 24.66122880847917,112,7,1131.6813598445672,2
1478,3.395780608731681 -54.47398622460022 18.28717796074192,85,8,923.3892637708872,2
1518,13.594034447044827 25.179723751623534 48.2451773776623,117,9,1291.4214727490858,2
1529,23.47371586929969 -6.66947429613884 49.519774373171316,183,10,2067.6901893879503,2
1535,18.64185171644687 -1.6320405532543953 56.531159300239224,197,11,2210.7505807676794,2
1554,5.94535425981877 -8.62283430154783 53.98156316388716,65,12,723.3046612506652,2
1600,14.838056173556504 -30.31474778056922 39.958731361582565,99,13,1038.3672271591113,2
1607,18.0250760725917 -44.29637799836829 50.79437152596215,110,14,1081.5489928018787,2
1613,14.838094345908173 -39.87574896111701 52.70658812383504,229,15,2577.905150495565,2
1653,54.41803480790131 36.65328546416454 -21.230930749836343,118,16,1200.6291574908755,3
1660,41.36172684986189 19.44362993013485 -28.87974394402581,80,17,841.026353289782,3
1671,45.78233090765445 39.20292232703979 -33.97880619301502,45,18,515.0817087579046,3
1690,44.548708740287225 18.168830565222926 -26.330175667791277,112,19,1213.0327026895052,3
1723,73.53997144313847 -18.800050467138714 -26.967825939302127,227,20,2266.7412712191845,3
1767,55.34339742889004 -20.753477785407462 -10.714221388404509,99,21,1033.8310738831942,3
1820,37.455314463572705 -56.42724932280903 19.56189617100183,215,22,2387.1630353471123,3
1849,28.61404620733321 -53.8571954057846 33.26592844251669,188,23,2226.3753900004135,3
1861,48.969523998936985 -62.18423083676799 -2.109598187742426,104,24,1185.0541560391678,3
1879,35.296394369941645 -76.78268278343238 0.7586261879175662,328,25,3714.843608091605,3
1947,39.717050487005515 -34.118542689335165 44.420433319088495,178,26,1954.275484520857,3
1969,54.72663846437767 -8.622684259192384 40.59617172333619,294,27,3280.7195471578525,3
1979,48.9694890524828 -13.043234567382669 21.474298617578672,219,28,2344.5241026260246,3
1996,41.67013759651146 30.27931783068116 -22.505732932524456,129,29,1509.6727953298555,3
2037,51.23111423744632 48.763568703593734 19.562444808104907,99,30,1044.9855429119852,3
2061,48.66102331318857 27.729462889547335 29.760660707330278,135,31,1492.3542310697655,3
2065,50.203042796315316 16.256601618890524 -16.769266616627853,124,32,1398.315452025981,3
2111,51.84805151885833 -2.865524530715125 32.31006911129014,140,33,1469.9464685903306,3
2164,37.86648341031936 8.607496589472852 45.695462095557446,129,34,1447.2779939393413,3
2188,41.361883602496505 -3.4824047641840408 37.72794776933669,85,35,995.0977834682722,3
2205,37.455218691977294 18.805895844558375 32.31021332389548,78,36,771.1648403607336,3
2210,-10.308409043084781 16.89393951114955 -23.780502351185707,196,37,2376.20754184477,4
2228,-24.331141596720503 32.19143830554389 -29.83564891548151,179,38,1857.3582389241658,4
2283,-70.54226307293246 15.61904691470024 -22.505609801772724,205,39,2275.957899569969,4
2323,-68.94874371279856 -12.42632034435922 -27.286230461756205,122,40,1441.2089450473138,4
2350,-51.73902794104636 -8.005787190227707 -1.7904227761503189,146,41,1567.1521055906492,4
2378,-65.44303220928073 11.157089146166403 13.82589267755394,106,42,977.7859143328924,4
2405,-38.35361890882113 -18.800632113366525 47.28893821406024,105,43,1388.765263950309,4
2427,-45.046304233922 -14.37992346451395 33.58497217198458,48,44,528.2915648149844,4
2507,-57.15681881945614 -11.192968846706696 34.22240965530804,103,45,1057.8808279495138,4
