NodeID,Position,Number of CouplingPoints,ClusterID,Area,MajorVesselID
1303,-1.0314015961220322 64.87403477343385 -2.04740966912529,233,0,2760.352943666508,2
1341,24.406619787987985 60.03621433290075 23.048889423102548,188,1,1872.1914780525651,2
1378,1.3877231461093453 66.68817120772732 30.30585502026807,100,2,1144.547434187834,2
1432,12.897434006830304 18.914211983987673 36.655379117778416,343,3,3483.990860163287,2
1444,14.360360287596487 37.66099712461357 27.584402330818452,169,4,1912.3251784187507,2
1455,22.846124251058857 44.917839264801486 29.398571095814575,197,5,2047.1289658037908,2
1495,-2.5427437030682563 20.123588237370058 45.726486721437425,152,6,1728.5420835363,2
1525,3.8071327235565513 -10.093593777081104 50.866616196443815,166,7,1847.1731699364957,2
1586,0.1787066085111305 -22.773486960462282 37.86482269120502,175,8,2036.2116032922563,2
1599,9.552232413330232 -46.37759901975546 44.51678789086048,53,9,609.3504620549318,2
1616,3.807195377786202 -54.278143044832746 28.18898122065655,145,10,1537.4646471129458,2
1653,38.5494291341117 32.21862773642648 -25.027623978403685,88,11,1048.3554710959847,3
1663,34.35525306430696 38.265956988389966 -29.26072295360715,86,12,878.2074697362071,3
1694,31.332041207738104 -20.432354372391085 2.1853282037686177,43,13,470.41107937377666,3
1741,40.40324276963114 -25.211729702275463 30.003031471183533,105,14,1158.7476931800663,3
1809,36.501793098164214 -32.527090250230394 34.53854125552122,121,15,1380.77509413686,3
1814,38.842696004092325 -41.59807390961234 27.584063854541817,47,16,519.1369963074492,3
1827,33.18551830897342 -43.353783669966546 28.18882894105821,66,17,566.3377894323006,3
1857,56.106277195350835 24.96188840395234 -22.004078920679394,80,18,869.4610404615705,3
1885,59.71522163333549 12.262493258424994 -23.818332317130093,92,19,1011.934153892369,3
1902,56.98422572871865 13.471923738629132 -12.933098976007102,123,20,1305.1481741949715,3
1965,50.05929998335199 -53.009827302090414 -20.190025957226005,196,21,2588.3834601349304,3
2042,28.30856799269579 -50.66910013476894 12.465754259814616,208,22,2418.180381675175,3
2062,48.596330061508475 -49.98620830755685 -2.047986115199012,136,23,1453.9331060456898,3
2087,34.06338678098964 -72.41999013169539 10.953831761744963,103,24,1127.5197958427327,3
2097,40.98855726543127 -57.88685345163879 20.327203821193162,54,25,594.3027877627384,3
2113,36.79445972247959 -65.10466529942433 19.117744013178807,72,26,763.114736657096,3
2156,43.42637766180851 28.59022661980921 -17.770854289237715,93,27,965.0306449931277,3
2189,40.110015118286796 67.89788970920182 -1.7452853117650569,91,28,1012.4371279875478,3
2226,36.79388932706563 55.803153404874934 15.489627656752816,75,29,848.6742919272555,3
2245,40.110123967314884 46.73218999594947 0.37123341524924586,81,30,717.8611602182629,3
2281,41.865910602763236 14.076573243844527 -6.280930774654452,121,31,1266.7256285547437,3
2338,35.23369603984179 1.9817433228135575 42.702544768997484,150,32,1972.0303097822439,3
2348,54.9362030611771 -5.31393217990794 17.90830712652067,34,33,360.2348371099038,3
2379,27.723390014692235 -19.74970413809214 43.30727142100137,126,34,1353.0854421204324,3
2425,43.71909965057575 37.661179508129734 7.0232647625456295,116,35,1062.7730401412816,3
2451,36.50140691739211 42.498970988791115 26.9795463658465,110,36,1112.8229938787035,3
2481,30.74668097728276 27.985351647943375 16.69906577925022,110,37,1251.5959871293433,3
2503,35.526137454458045 31.613729540158094 36.65527208411649,197,38,2144.7077621963613,3
2521,40.40302055671388 16.49542969165146 24.560524406516056,62,39,618.7824375567228,3
2548,29.771504886007282 2.5864810179228184 30.910262209816754,135,40,1451.4018052838965,3
2603,-28.546917173409852 38.87043465260873 -40.184567448409794,78,41,910.5849893250346,4
2611,-56.06208979594018 23.75189140979395 -13.537121746191403,162,42,1740.4446906379628,4
2619,-49.4101012315938 21.333023950996992 -29.5626231226156,65,43,674.5292278320597,4
2687,-50.31688915765465 -40.9155924102214 -24.422526267947568,151,44,1639.409089375858,4
2710,-52.13132503804768 8.02885523623053 -26.84133405518734,62,45,592.6996417276146,4
2719,-43.967468640489756 17.70464174015158 -28.353195007456563,188,46,2154.0547791428253,4
2795,-42.15284941674427 -57.88714292403704 -16.258705167105408,88,47,980.9507658524848,4
2829,-46.990651877149546 -59.05764551596464 -5.07109772829941,86,48,840.67854716181,4
2856,-55.4568968920658 -41.59846756361478 13.373386214088468,55,49,539.5093209808105,4
2897,-49.409564336716215 -47.64576751594335 7.325993610624665,82,50,866.0201322246999,4
2912,-42.152685311252526 -62.081323050788654 7.628281969805274,85,51,985.4727303565413,4
2930,-26.42965516693596 -60.32555398326849 -0.23335289192044414,110,52,1217.988862057289,4
2954,-19.475139305126348 -54.86344847066611 16.09443937277262,121,53,1413.0947798740542,4
2980,-19.172641778672876 -67.54338412339195 27.886722497624945,52,54,548.9149287951101,4
3063,-16.45137525001853 -44.6220249890285 39.07434124456162,146,55,1797.2667590659908,4
3119,-43.05997893649269 8.633497163466481 28.79415144497116,89,56,948.9433169180518,4
3123,-49.71195791146722 -10.09378799744586 30.608348076546168,32,57,395.65410686999394,4
3134,-40.94331051804029 -1.042261770997296 38.16749288431685,52,58,567.8604298247968,4
3177,-45.478673524193496 -37.30681306044701 34.236663065758215,108,59,1127.5321976006226,4
3215,-31.26743812747523 -20.43273891762778 44.21472954621178,103,60,1290.0827905464266,4
3231,-35.198230948182825 -21.603201196405497 40.28398008434323,99,61,1142.5903140487912,4
3250,-27.639115953432427 -21.01791608990528 30.305821320153242,77,62,705.5378626940042,4
3286,-43.36256683006548 6.81938310135013 -8.699366493801145,72,63,834.1741254461265,4
3295,-32.477314309495185 11.657281041987968 1.2786914849085074,49,64,605.0866498731461,4
3318,-45.78166767967403 28.589826374123092 -19.584513531878258,246,65,2661.5081515825386,4
3336,-46.08411208435316 38.87031737436429 -24.42236093874384,59,66,752.6791646441776,4
3379,-41.85088008568359 55.19808961658792 3.093055019430208,98,67,1174.8464579119009,4
3397,-37.92007847690035 45.522369962420065 0.3717044547187523,90,68,913.3359530184871,4
3415,-48.50276354653087 32.82286318728975 17.909026703448024,95,69,1041.4596020543947,4
3448,-58.783279396948835 24.356567662873942 5.814387480702144,49,70,510.7547526980685,4
3484,-32.477233950379805 35.24183784049785 32.12018648249708,74,71,822.0351212808679,4
3507,-28.546336251124327 10.4477519556241 34.236674565642396,80,72,856.9603260725262,4
3525,-35.500784866954646 20.12345179298007 40.28408183158223,115,73,1246.008955065066,4
3637,-30.663349823063456 72.73541828238635 7.628534989363307,83,74,838.0065448241108,5
3643,-7.381187530566168 78.78289841444177 -4.466274263478657,79,75,845.055345098903,5
3683,-34.593961873941936 53.988616570423105 19.723195833512754,136,76,1372.7824826372766,5
3695,-3.4503371301856496 65.47875170362472 -1.4426594130469352,259,77,2822.1267622641485,5
3741,-26.42997723533339 47.94129291426723 27.584674696256492,126,78,1268.9414038318932,5
3749,-19.777820715516608 41.28922788379452 36.05089808392829,155,79,1667.3748848611745,5
3787,-6.775784729558738 2.58627254773241 48.750143230714365,165,80,1894.5206420042223,5
3807,-2.5426664047175476 -13.11725130742041 33.63172713243379,80,81,849.0500328143956,5
3812,-3.147471867202264 -9.508335399859364 24.560726658506205,58,82,617.453507928539,5
3830,-3.4498138356485946 14.0762417467908 46.3312108207613,198,83,2247.182429002282,5
3854,-17.056409308482795 20.123541236597795 37.86503008498447,122,84,1499.4366631238768,5
3867,-9.194751816601123 -36.72137192483466 14.280217441538571,118,85,1414.7843346132763,5
3891,-7.078038176213515 -49.98653320934887 28.18905761064465,155,86,1677.550817145473,5
3900,-12.82313107487252 -34.28295886273567 20.327587176913266,84,87,842.0381895362618,5
3938,28.89328314873774 -8.337582123421612 -40.185029360134436,244,88,2748.1929645418095,6
3956,39.23245735689054 -41.59791793183306 -36.820122055212124,219,89,2380.762797489008,6
3983,23.138927283529274 -67.54306987118017 -23.213568177160337,219,90,2150.016646876431,6
4016,8.342542611433032 -76.02894083371054 -14.142485837494633,186,91,2014.6845338393753,6
4036,7.132975468740364 -33.11237332501554 1.5807107059764582,229,92,2536.8794833930506,6
4078,15.628766833230554 -73.59052894943872 13.070510390980555,268,93,3089.1556612021504,6
