NodeID,Position,Number of CouplingPoints,ClusterID,Area,MajorVesselID
1317,6.342347747956792 81.15190909292485 -28.04554137969793,52,0,561.5577393627269,2
1326,26.789841476153157 79.89617175761482 -21.138670043464717,69,1,774.7455956517753,2
1339,22.333856608339346 67.33794479376849 -9.522472747155174,88,2,1037.9713730980782,2
1351,9.796046407310236 75.50048397624154 14.965971542381387,96,3,1029.4439708265772,2
1364,12.621502248484251 82.40759548393618 -4.185128767266292,63,4,609.2728650538814,2
1374,17.67524889661271 69.8494421320373 5.861262795149975,81,5,836.7058459634503,2
1443,4.7728309944866805 70.47720073794073 15.90781856507846,111,6,1196.289279730588,2
1454,19.49837546334384 53.5237697723776 24.070420742838092,102,7,1197.989701466414,2
1477,25.16990485022315 29.03549922666162 19.046984640021954,131,8,1570.8251927635629,2
1493,33.67701045668673 39.081968243336085 30.349325184137328,37,9,385.00934320372875,2
1501,34.892208519557585 47.2448463017522 16.849394258734534,54,10,629.8005480545097,2
1514,18.2834037134641 10.826018082822753 43.53522698399804,100,11,1101.5370235719724,2
1528,30.841462340260435 18.36099316082968 39.139881584184245,52,12,560.8544148472411,2
1574,4.773562653784914 -41.2699544291874 35.05820371389388,118,13,1179.1488051437912,2
1628,16.359279687103427 0.7591828726514034 54.20957180145029,76,14,854.9706758325891,2
1634,25.474037807432737 -2.987899128063492 47.30254145047945,117,15,1355.538730872889,2
1659,1.3198485715326642 4.546858300843561 43.535256819486186,103,16,1166.323347738651,2
1704,8.854977612100143 -36.30753201893123 47.930293331702075,187,17,1979.903743836983,2
1710,6.343184317290751 -6.7352003731320575 48.55841132693816,44,18,466.2800281966167,2
1716,1.6339073458194775 -11.798969602082684 46.04676961928079,236,19,2485.1106010096364,2
1766,50.89349398356749 45.989439548677865 -29.929685262368068,69,20,767.0487629667745,3
1802,44.00666440591719 70.47769880666404 -24.278337077025114,71,21,698.5558821868067,3
1884,45.93099285483698 62.942745771603136 -10.46446179577815,49,22,479.96994865188935,3
1889,41.77877372940641 51.01252004104454 -12.348242129121777,80,23,909.6706303849678,3
1905,35.90489542731319 55.4076599667835 12.768055524607568,43,24,477.84608752921304,3
1912,43.70309053082277 44.10548464305255 -0.41808141906993435,75,25,728.8667969122384,3
1920,41.17120978959754 39.08226682780626 -7.63902443975875,153,26,1657.8448415756363,3
1943,41.475152624234475 38.454188708630454 18.419071743441513,65,27,620.0743836202777,3
1951,44.614640197058854 40.96587296463027 12.140014713343614,108,28,1288.6103794354126,3
1987,54.33691449596155 24.64074569354612 -43.4399495318982,72,29,731.5185318336087,3
2008,46.53865593507231 31.547719170544354 -51.23805922056186,54,30,658.7211938842872,3
2098,52.817992500238205 30.29151420998367 12.767815188291307,64,31,739.1781926442455,3
2116,34.28472204510012 25.895968832729153 26.89575084224879,67,32,720.1177751956307,3
2134,32.66440620144839 11.454117316734314 27.20961328567962,61,33,827.6504386399318,3
2235,8.227155518889374 -55.75232340728772 41.023198962246106,162,34,1658.4048231385673,3
2255,18.891436561621745 -62.03127229816572 33.488240049126645,43,35,373.53599738642595,3
2261,22.03090005961509 -53.22028786930639 29.72084817231935,38,36,468.1300802711129,3
2299,60.31247215975346 9.570665714506179 11.511831430557255,91,37,1134.8380845000781,3
2329,37.12065027521588 -5.5196392778306524 36.6280708214399,45,38,501.4534216901841,3
2337,38.63971564423617 -2.38003037573074 26.267635658238774,57,39,665.0165484332197,3
2356,32.36065975759524 9.570288096605857 43.53515882385507,49,40,543.5386936017983,3
